Store,DayOfWeek,Promo,SchoolHoliday,StoreType,Assortment,CompetitionDistance,CompetitionOpenSinceMonth,CompetitionOpenSinceYear,Promo2,Promo2SinceWeek,Promo2SinceYear,HasCompetition,Year,Month,Quarter,Day,Week,IsWeekend,lag1,lag7,lag14,lag30,roll7_mean,roll30_mean,IsHoliday
1,3,0,0,2,0,1270.0,9.0,2008.0,0,0.0,0.0,1,2015,7,3,22,30,0,3558.0,5042.0,4359.0,4000.0,4492.428571428572,4316.133333333333,0
2,5,1,1,0,0,570.0,11.0,2007.0,1,13.0,2010.0,1,2015,7,3,31,31,0,5567.0,4108.0,6406.0,3953.0,4963.0,5062.733333333334,0
3,3,0,1,0,0,14130.0,12.0,2006.0,1,14.0,2011.0,1,2015,7,3,22,30,0,5600.0,8625.0,6736.0,8524.0,6790.285714285715,6943.5,0
4,1,1,1,2,2,620.0,9.0,2009.0,0,0.0,0.0,1,2015,7,3,27,31,0,9322.0,9703.0,9177.0,9118.0,8942.142857142857,9777.833333333334,0
5,1,0,0,0,0,29910.0,4.0,2015.0,0,0.0,0.0,1,2015,6,2,8,24,0,1838.0,2533.0,4660.0,6598.0,5160.571428571428,4946.166666666667,0
6,3,1,0,0,0,310.0,12.0,2013.0,0,0.0,0.0,1,2015,6,2,3,23,0,6887.0,4574.0,3245.0,2737.0,5290.428571428572,5207.5,0
7,5,0,0,0,2,24000.0,4.0,2013.0,0,0.0,0.0,1,2015,6,2,26,26,0,6875.0,8955.0,6746.0,9027.0,7681.428571428572,8773.8,0
8,3,0,1,0,0,7520.0,10.0,2014.0,0,0.0,0.0,1,2015,7,3,22,30,0,5168.0,8845.0,6740.0,7751.0,6750.0,6396.866666666667,0
9,5,1,0,0,2,2030.0,8.0,2000.0,0,0.0,0.0,1,2015,6,2,19,25,0,8098.0,6359.0,10248.0,6634.0,7957.714285714285,7991.966666666666,0
10,6,0,0,0,0,3160.0,9.0,2009.0,0,0.0,0.0,1,2015,6,2,13,24,1,5385.0,5828.0,5070.0,6011.0,5563.571428571428,6015.9,0
11,2,1,1,0,2,960.0,11.0,2011.0,1,1.0,2012.0,1,2015,7,3,28,31,0,8796.0,7733.0,5756.0,6003.0,6726.285714285715,7385.433333333333,0
12,1,1,0,0,2,1070.0,0.0,0.0,1,13.0,2010.0,0,2015,7,3,13,29,0,6612.0,5119.0,6275.0,6382.0,6133.571428571428,7350.6,0
13,5,1,0,3,0,310.0,0.0,0.0,1,45.0,2009.0,0,2015,6,2,19,25,0,5047.0,4677.0,5879.0,3296.0,5549.285714285715,5026.866666666667,0
14,1,1,0,0,0,1300.0,3.0,2014.0,1,40.0,2011.0,1,2015,6,2,1,23,0,3672.0,6981.0,6234.0,4734.0,5308.142857142857,5840.266666666666,0
15,5,1,0,3,2,4110.0,3.0,2010.0,1,14.0,2011.0,1,2015,7,3,17,29,0,8501.0,5609.0,6043.0,5757.0,7229.142857142857,6852.233333333334,0
16,5,1,0,0,2,3270.0,0.0,0.0,0,0.0,0.0,0,2015,7,3,17,29,0,7954.0,6867.0,10529.0,6869.0,8574.285714285714,8196.666666666666,0
17,6,0,0,0,0,50.0,12.0,2005.0,1,26.0,2010.0,1,2015,6,2,20,25,1,6820.0,4759.0,7776.0,6738.0,6749.857142857143,6360.2,0
18,1,0,0,3,2,13840.0,6.0,2010.0,1,14.0,2012.0,1,2015,7,3,6,28,0,5001.0,4598.0,8270.0,10373.0,7808.142857142857,7193.433333333333,0
19,6,0,0,0,2,3240.0,0.0,0.0,1,22.0,2011.0,0,2015,6,2,27,26,1,6505.0,8508.0,5856.0,7456.0,6253.857142857143,7045.366666666667,0
20,4,1,0,3,0,2340.0,5.0,2009.0,1,40.0,2014.0,1,2015,7,3,2,27,0,8977.0,8160.0,10223.0,8899.0,8950.142857142857,8553.166666666666,0
21,6,0,0,2,2,550.0,10.0,1999.0,1,45.0,2009.0,1,2015,6,2,27,26,1,5327.0,7499.0,3122.0,6260.0,4623.0,5519.033333333334,0
22,1,0,0,0,0,1040.0,0.0,0.0,1,22.0,2012.0,0,2015,7,3,20,30,0,3578.0,3480.0,5673.0,7857.0,4852.142857142857,4924.1,0
23,5,1,1,3,0,4060.0,8.0,2005.0,0,0.0,0.0,1,2015,7,3,31,31,0,5801.0,4311.0,5604.0,4546.0,5645.142857142857,5633.3,0
24,3,0,1,0,2,4590.0,3.0,2000.0,1,40.0,2011.0,1,2015,7,3,8,28,0,7651.0,18220.0,7579.0,12809.0,10281.142857142857,10149.866666666667,0
25,6,0,0,2,0,430.0,4.0,2003.0,0,0.0,0.0,1,2015,6,2,27,26,1,9430.0,10679.0,8906.0,11076.0,9598.57142857143,10891.9,0
26,1,1,0,3,0,2300.0,0.0,0.0,0,0.0,0.0,0,2015,6,2,29,27,0,6926.0,6367.0,5879.0,5848.0,5590.0,6656.2,0
